# x,y,theta,velocity,time
5.573323678147378502e+00,-3.108411886150946657e+00,-1.491197613072496431e+00,3.405097087378640808e+00,1.738852000243712664e+09
5.570506992049764960e+00,-3.221769832267394662e+00,-1.566534666251707897e+00,3.400970873786407722e+00,1.738852000264361620e+09
5.559565514931914088e+00,-3.308760403488287594e+00,-1.583985962103734879e+00,3.399029126213592100e+00,1.738852000285090208e+09
5.548621559928329283e+00,-3.371565367784161715e+00,-1.592207406748779697e+00,3.399029126213592100e+00,1.738852000319639683e+09
5.526699979979797561e+00,-3.558140957589995601e+00,-1.696104259217231736e+00,3.397815533980582448e+00,1.738852000355957031e+09
5.499657432023528081e+00,-3.682232798876056812e+00,-1.748789684971650438e+00,3.390291262135922246e+00,1.738852000392162085e+09
5.449448677666570262e+00,-3.803884583908697881e+00,-1.853745717733171539e+00,3.385922330097087318e+00,1.738852000428618431e+09
5.420973582001586522e+00,-3.864317762339448681e+00,-1.874222283240452036e+00,3.389563106796116720e+00,1.738852000464144468e+09
5.371685939333717741e+00,-3.965446219739746425e+00,-1.980001333135201769e+00,3.383737864077669855e+00,1.738852000500305891e+09
5.315836757850054717e+00,-4.077695118534161445e+00,-2.027468102589973675e+00,3.383009708737863885e+00,1.738852000531120539e+09
5.272411642126106024e+00,-4.133548116380973525e+00,-2.118971493046340804e+00,3.385679611650485477e+00,1.738852000549179792e+09
5.246782168402954305e+00,-4.170059614509669998e+00,-2.137811958771744791e+00,3.383009708737863885e+00,1.738852000569787979e+09
5.222267309533464186e+00,-4.207664895544666273e+00,-2.157070093802356148e+00,3.376941747572815622e+00,1.738852000587984324e+09
5.173553239878152965e+00,-4.264997755284904990e+00,-2.239653484566200614e+00,3.381553398058252391e+00,1.738852000606202126e+09
5.140271100428839723e+00,-4.306474687854506378e+00,-2.264784944055914018e+00,3.378155339805825275e+00,1.738852000637222528e+09
5.045792345969713821e+00,-4.418216768885693924e+00,-2.376049444183645498e+00,3.380582524271844580e+00,1.738852000673119068e+09
5.004203288002492478e+00,-4.466295446070363440e+00,-2.400411531204151849e+00,3.376941747572815622e+00,1.738852000708815575e+09
4.904714331678493799e+00,-4.558892851421936676e+00,-2.477877534660730241e+00,3.377427184466019305e+00,1.738852000745002270e+09
4.827288301734310672e+00,-4.627050343180861169e+00,-2.522597181584937509e+00,3.374029126213592189e+00,1.738852000780860186e+09
4.750058053954711035e+00,-4.701254754299582395e+00,-2.609795360307738399e+00,3.370388349514563231e+00,1.738852000816556931e+09
4.687710775636737992e+00,-4.755212974864892139e+00,-2.649035771675339213e+00,3.374271844660194031e+00,1.738852000851063490e+09
4.653706455468221037e+00,-4.783385284244957347e+00,-2.687513984227147823e+00,3.371116504854368756e+00,1.738852000889364004e+09
4.581414521536864903e+00,-4.826424665012709170e+00,-2.728786981246808629e+00,3.369902912621359103e+00,1.738852000924600124e+09
4.470580408014841467e+00,-4.868125120031915110e+00,-2.814351935184471465e+00,3.374757281553398158e+00,1.738852000959944010e+09
4.379047325609000119e+00,-4.893081587500656582e+00,-2.851811731355307522e+00,3.376213592233009653e+00,1.738852000981010914e+09
4.323918276611369294e+00,-4.899447685574291000e+00,-2.907325916206711547e+00,3.372087378640776567e+00,1.738852001003372669e+09
4.259076457936625815e+00,-4.909530043913918895e+00,-2.935896918366121433e+00,3.371844660194174725e+00,1.738852001026336670e+09
4.233526536747697300e+00,-4.909007331866455104e+00,-2.944173053061571288e+00,3.376699029126213780e+00,1.738852001067068815e+09
4.061828532477588460e+00,-4.916956265149965866e+00,-3.059302560545272165e+00,3.374271844660194031e+00,1.738852001108608961e+09
3.903073753151169889e+00,-4.907650662743471059e+00,3.096631819727474699e+00,3.370631067961165073e+00,1.738852001150534153e+09
3.776183762872919125e+00,-4.883141138350710619e+00,3.075966825034766039e+00,3.373300970873786220e+00,1.738852001192532063e+09
3.601724524856148690e+00,-4.842383474722714354e+00,2.978043716503618210e+00,3.374757281553398158e+00,1.738852001223690271e+09
3.574071818465095696e+00,-4.825142449263597477e+00,2.974884914113656631e+00,3.370873786407766914e+00,1.738852001244682789e+09
3.498734980696834196e+00,-4.797805132024461017e+00,2.905069927105186078e+00,3.375000000000000000e+00,1.738852001266348362e+09
3.440789664409644288e+00,-4.771967864072526488e+00,2.893695534391039992e+00,3.372572815533980695e+00,1.738852001287517071e+09
